idTree,dateHarvest,typeHarvest,prodFruit,damagedFruit,percFruitDamage,avgFruit
avocado_01,2023-01-24,NATIONAL,20.42,20.239,99.11,171
avocado_02,2023-01-24,NATIONAL,22.69,17.89,78.84,186
avocado_03,2023-01-24,NATIONAL,16.46,16.46,100,196
avocado_04,2023-01-24,NATIONAL,11.55,5.73,49.61,208
avocado_05,2023-01-24,NATIONAL,9.31,5.309,57.02,210
avocado_06,2023-01-24,NATIONAL,5.15,3.365,65.33,199
avocado_07,2023-01-24,NATIONAL,6.92,6.92,100,154
avocado_08,2023-01-24,NATIONAL,5.92,4.123,69.64,123
avocado_09,2023-01-24,NATIONAL,0.273,0.273,100,190
avocado_10,2023-01-24,NATIONAL,3.8,3.111,81.84,203
avocado_11,2023-01-24,NATIONAL,2.78,1.883,67.73,205
avocado_12,2023-01-24,NATIONAL,8.35,7.744,92.74,193
avocado_13,2023-01-24,NATIONAL,7.41,2.75,37.11,212
avocado_14,2023-01-24,NATIONAL,6.97,1.83,26.25,185
avocado_15,2023-01-24,NATIONAL,9.26,1.68,31.14,143
avocado_16,2023-01-24,NATIONAL,6.24,2.66,42.62,168
avocado_17,2023-01-24,NATIONAL,2.79,2.587,90.93,165
avocado_18,2023-01-24,NATIONAL,17.57,14.24,81.04,148
avocado_19,2023-01-24,NATIONAL,28.09,25.68,91.42,132
avocado_20,2023-01-24,NATIONAL,66.38,52.29,78.77,133
avocado_21,2023-01-24,NATIONAL,16.97,7.995,47.11,166
avocado_22,2023-01-24,NATIONAL,13.22,2.92,22.08,198
avocado_23,2023-01-24,NATIONAL,5.991,5.707,95.25,202
avocado_24,2023-01-24,NATIONAL,17.07,15.61,91.44,183
avocado_25,2023-01-24,NATIONAL,9.31,5.73,61.54,178
avocado_26,2023-01-24,NATIONAL,6.666,3.53,52.95,169
avocado_27,2023-01-24,NATIONAL,39.03,19.96,51.14,155
avocado_28,2023-01-24,NATIONAL,29.12,29.12,100,140
avocado_29,2023-01-24,NATIONAL,11.6,8.35,71.98,147
avocado_30,2023-01-24,NATIONAL,18.52,9.915,53.53,178
avocado_01,2023-02-09,EXPORT,30.72,6.21,20.21,186
avocado_02,2023-02-09,EXPORT,50.24,6.76,13.46,208
avocado_03,2023-02-09,EXPORT,7.14,0.851,11.92,211
avocado_04,2023-02-09,EXPORT,21.09,1.31,6.21,188
avocado_05,2023-02-09,EXPORT,16.87,1.79,10.61,232
avocado_06,2023-02-09,EXPORT,16.08,1.55,9.64,175
avocado_07,2023-02-09,EXPORT,34.33,12.63,36.79,169
avocado_08,2023-02-09,EXPORT,34.18,7.41,21.68,172
avocado_09,2023-02-09,EXPORT,11.3,1.4,12.39,189
avocado_10,2023-02-09,EXPORT,13.06,5.14,39.36,151
avocado_11,2023-02-09,EXPORT,65.12,8.92,13.7,176
avocado_12,2023-02-09,EXPORT,16.28,3.645,22.39,182
avocado_13,2023-02-09,EXPORT,43.23,7.87,18.2,190
avocado_14,2023-02-09,EXPORT,38.11,5.17,13.57,232
avocado_15,2023-02-09,EXPORT,63.41,12.83,20.23,128
avocado_16,2023-02-09,EXPORT,41.63,5.96,14.32,197
avocado_17,2023-02-09,EXPORT,19.53,2.56,13.11,194
avocado_18,2023-02-09,EXPORT,58.41,21.1,36.12,290
avocado_19,2023-02-09,EXPORT,26.85,11.7,43.58,163
avocado_20,2023-02-09,EXPORT,5.125,3.29,64.2,142
avocado_21,2023-02-09,EXPORT,14.99,3.37,22.48,153
avocado_22,2023-02-09,EXPORT,56.57,18.81,33.25,167
avocado_23,2023-02-09,EXPORT,42.48,12.24,28.81,180
avocado_24,2023-02-09,EXPORT,13.18,6.55,49.7,193
avocado_25,2023-02-09,EXPORT,34.55,14.93,43.21,148
avocado_26,2023-02-09,EXPORT,31.1,8.44,27.14,179
avocado_27,2023-02-09,EXPORT,17.4,5.98,34.37,168
avocado_28,2023-02-09,EXPORT,16.43,2.91,17.71,161
avocado_29,2023-02-09,EXPORT,29.86,8.71,29.17,202
avocado_30,2023-02-09,EXPORT,23.13,8.94,38.65,158
avocado_01,2023-11-22,EXPORT,48.68,12.36,25.39,221
avocado_02,2023-11-22,EXPORT,15.26,4.3,28.18,237
avocado_03,2023-11-22,EXPORT,37.32,12.88,34.51,214
avocado_04,2023-11-22,EXPORT,54.3,9.4,17.31,188
avocado_05,2023-11-22,EXPORT,93.19,40.39,43.34,218
avocado_06,2023-11-22,EXPORT,23.86,6.2,25.98,193
avocado_07,2023-11-22,EXPORT,,,,
avocado_08,2023-11-22,EXPORT,28.92,12.76,44.12,175
avocado_09,2023-11-22,EXPORT,29.4,10.22,34.76,181
avocado_10,2023-11-22,EXPORT,,,,
avocado_11,2023-11-22,EXPORT,36.2,17.32,47.85,191
avocado_12,2023-11-22,EXPORT,130.46,58.32,44.7,172
avocado_13,2023-11-22,EXPORT,69.3,31.36,45.25,195
avocado_14,2023-11-22,EXPORT,,,,
avocado_15,2023-11-22,EXPORT,136.14,56.86,41.77,194
avocado_16,2023-11-22,EXPORT,,,,
avocado_17,2023-11-22,EXPORT,,,,
avocado_18,2023-11-22,EXPORT,,,,
avocado_19,2023-11-22,EXPORT,,,,
avocado_20,2023-11-22,EXPORT,,,,
avocado_21,2023-11-22,EXPORT,,,,
avocado_22,2023-11-22,EXPORT,,,,
avocado_23,2023-11-22,EXPORT,,,,
avocado_24,2023-11-22,EXPORT,,,,
avocado_25,2023-11-22,EXPORT,,,,
avocado_26,2023-11-22,EXPORT,,,,
avocado_27,2023-11-22,EXPORT,,,,
avocado_28,2023-11-22,EXPORT,,,,
avocado_29,2023-11-22,EXPORT,,,,
avocado_30,2023-11-22,EXPORT,146.14,77.22,52.84,184
