idTree,dateObservation,presenceMonalonion,oldLeavesMonalonion,newLeavesMonalonion,fruitDamageMonalonion
avocado_01,2022-09-06,1,BA,BA,AL 
avocado_02,2022-09-06,0,BA,BA,AL 
avocado_03,2022-09-06,1,BA,BA,AL 
avocado_04,2022-09-06,1,BA,BA,NA 
avocado_05,2022-09-06,0,BA,BA,NA 
avocado_06,2022-09-06,0,BA,BA,NA 
avocado_07,2022-09-06,0,BA,BA,NA 
avocado_08,2022-09-06,1,BA,BA,NA 
avocado_09,2022-09-06,0,BA,BA,NA 
avocado_10,2022-09-06,1,BA,BA,NA 
avocado_11,2022-09-06,1,BA,BA,NA 
avocado_12,2022-09-06,1,BA,BA,AL 
avocado_13,2022-09-06,1,BA,BA,AL 
avocado_14,2022-09-06,1,BA,BA,AL 
avocado_15,2022-09-06,1,BA,BA,AL 
avocado_16,2022-09-06,1,BA,BA,NA 
avocado_17,2022-09-06,0,BA,BA,NA 
avocado_18,2022-09-06,1,BA,BA,AL 
avocado_19,2022-09-06,1,BA,BA,AL 
avocado_20,2022-09-06,1,BA,BA,AL 
avocado_21,2022-09-06,1,BA,BA,AL 
avocado_22,2022-09-06,0,BA,BA,NA 
avocado_23,2022-09-06,0,BA,BA,NA 
avocado_24,2022-09-06,1,BA,BA,AL 
avocado_25,2022-09-06,1,BA,BA,AL 
avocado_26,2022-09-06,0,BA,BA,NA 
avocado_27,2022-09-06,1,BA,BA,AL 
avocado_28,2022-09-06,0,BA,BA,NA 
avocado_29,2022-09-06,0,BA,BA,NA 
avocado_30,2022-09-06,0,BA,BA,NA 
avocado_01,2022-10-01,0,BA,BA,AL 
avocado_02,2022-10-01,0,BA,BA,AL 
avocado_03,2022-10-01,0,BA,BA,AL 
avocado_04,2022-10-01,0,BA,BA,AL 
avocado_05,2022-10-01,0,BA,BA,AL 
avocado_06,2022-10-01,0,BA,BA,AL 
avocado_07,2022-10-01,0,BA,BA,AL 
avocado_08,2022-10-01,0,BA,BA,AL 
avocado_09,2022-10-01,0,BA,BA,NA
avocado_10,2022-10-01,0,BA,BA,AL 
avocado_11,2022-10-01,0,BA,BA,NA
avocado_12,2022-10-01,0,BA,BA,AL 
avocado_13,2022-10-01,0,BA,BA,AL 
avocado_14,2022-10-01,1,BA,BA,AL 
avocado_15,2022-10-01,0,BA,BA,AL 
avocado_16,2022-10-01,0,BA,BA,AL 
avocado_17,2022-10-01,0,BA,BA,AL 
avocado_18,2022-10-01,0,BA,BA,AL 
avocado_19,2022-10-01,0,BA,BA,AL 
avocado_20,2022-10-01,0,BA,BA,NA
avocado_21,2022-10-01,0,BA,BA,NA
avocado_22,2022-10-01,0,BA,BA,NA
avocado_23,2022-10-01,0,BA,BA,NA
avocado_24,2022-10-01,0,BA,BA,NA
avocado_25,2022-10-01,0,BA,BA,NA
avocado_26,2022-10-01,0,BA,BA,NA
avocado_27,2022-10-01,0,BA,BA,NA
avocado_28,2022-10-01,0,BA,BA,NA
avocado_29,2022-10-01,0,BA,BA,NA
avocado_30,2022-10-01,0,BA,BA,NA
avocado_01,2022-10-17,0,BA,BA,AL 
avocado_02,2022-10-17,0,BA,BA,NA
avocado_03,2022-10-17,0,BA,BA,AL 
avocado_04,2022-10-17,0,BA,BA,NA
avocado_05,2022-10-17,0,BA,BA,NA
avocado_06,2022-10-17,0,BA,BA,NA
avocado_07,2022-10-17,0,BA,BA,NA
avocado_08,2022-10-17,0,BA,BA,NA
avocado_09,2022-10-17,0,BA,BA,NA
avocado_10,2022-10-17,0,BA,BA,NA
avocado_11,2022-10-17,0,BA,BA,AL 
avocado_12,2022-10-17,0,BA,BA,AL 
avocado_13,2022-10-17,0,BA,BA,AL 
avocado_14,2022-10-17,0,BA,BA,AL 
avocado_15,2022-10-17,0,BA,BA,AL 
avocado_16,2022-10-17,0,BA,BA,AL 
avocado_17,2022-10-17,0,BA,BA,AL 
avocado_18,2022-10-17,0,BA,BA,AL 
avocado_19,2022-10-17,0,BA,BA,AL 
avocado_20,2022-10-17,0,BA,BA,AL 
avocado_21,2022-10-17,0,BA,BA,NA
avocado_22,2022-10-17,0,BA,BA,AL 
avocado_23,2022-10-17,0,BA,BA,AL 
avocado_24,2022-10-17,0,BA,BA,AL 
avocado_25,2022-10-17,0,BA,BA,AL 
avocado_26,2022-10-17,0,BA,BA,AL 
avocado_27,2022-10-17,0,BA,BA,AL 
avocado_28,2022-10-17,0,BA,BA,AL 
avocado_29,2022-10-17,0,BA,BA,AL 
avocado_30,2022-10-17,0,BA,BA,AL 
avocado_01,2022-12-02,0,BA,BA,NA
avocado_02,2022-12-02,0,BA,BA,AL 
avocado_03,2022-12-02,0,BA,BA,AL 
avocado_04,2022-12-02,0,BA,BA,AL 
avocado_05,2022-12-02,0,BA,BA,NA
avocado_06,2022-12-02,0,BA,BA,AL 
avocado_07,2022-12-02,0,BA,BA,NA
avocado_08,2022-12-02,0,BA,BA,NA
avocado_09,2022-12-02,0,BA,BA,NA
avocado_10,2022-12-02,0,BA,BA,AL 
avocado_11,2022-12-02,0,BA,BA,NA
avocado_12,2022-12-02,0,BA,BA,AL 
avocado_13,2022-12-02,0,BA,BA,AL 
avocado_14,2022-12-02,0,BA,BA,AL 
avocado_15,2022-12-02,0,BA,BA,AL 
avocado_16,2022-12-02,0,BA,BA,AL 
avocado_17,2022-12-02,0,BA,BA,AL 
avocado_18,2022-12-02,0,BA,BA,AL 
avocado_19,2022-12-02,0,BA,BA,AL 
avocado_20,2022-12-02,0,BA,BA,AL 
avocado_21,2022-12-02,0,BA,BA,AL 
avocado_22,2022-12-02,0,BA,BA,AL 
avocado_23,2022-12-02,0,BA,BA,AL 
avocado_24,2022-12-02,0,BA,BA,AL 
avocado_25,2022-12-02,0,BA,BA,AL 
avocado_26,2022-12-02,0,BA,BA,AL 
avocado_27,2022-12-02,0,BA,BA,AL 
avocado_28,2022-12-02,0,BA,BA,AL 
avocado_29,2022-12-02,0,BA,BA,AL 
avocado_30,2022-12-02,0,BA,BA,AL 
avocado_01,2023-03-18,0,NA,NA,NA
avocado_02,2023-03-18,1,BA,NA,BA
avocado_03,2023-03-18,1,BA,NA,BA
avocado_04,2023-03-18,1,BA,NA,BA
avocado_05,2023-03-18,1,BA,NA,BA
avocado_06,2023-03-18,0,NA,NA,NA
avocado_07,2023-03-18,1,BA,BA,ME
avocado_08,2023-03-18,1,BA,NA,BA
avocado_09,2023-03-18,0,NA,NA,NA
avocado_10,2023-03-18,1,BA,NA,BA
avocado_11,2023-03-18,1,BA,NA,NA
avocado_12,2023-03-18,1,BA,NA,NA
avocado_13,2023-03-18,0,NA,NA,NA
avocado_14,2023-03-18,1,BA,NA,BA
avocado_15,2023-03-18,1,BA,BA,NA
avocado_16,2023-03-18,1,BA,NA,ME
avocado_17,2023-03-18,1,BA,NA,ME
avocado_18,2023-03-18,1,BA,BA,BA
avocado_19,2023-03-18,1,BA,BA,ME
avocado_20,2023-03-18,1,ME,BA,BA
avocado_21,2023-03-18,1,BA,BA,BA
avocado_22,2023-03-18,1,BA,BA,BA
avocado_23,2023-03-18,1,ME,BA,ME
avocado_24,2023-03-18,1,ME,BA,AL
avocado_25,2023-03-18,1,ME,BA,BA
avocado_26,2023-03-18,1,BA,NA,NA
avocado_27,2023-03-18,1,ME,BA,ME
avocado_28,2023-03-18,1,ME,BA,ME
avocado_29,2023-03-18,1,ME,BA,ME
avocado_30,2023-03-18,1,ME,NA,BA
avocado_01,2022-04-01,0,NA,NA,BA
avocado_02,2022-04-01,1,NA,NA,ME
avocado_03,2022-04-01,0,NA,NA,NA
avocado_04,2022-04-01,1,NA,NA,ME
avocado_05,2022-04-01,1,NA,NA,BA
avocado_06,2022-04-01,1,NA,NA,BA
avocado_07,2022-04-01,1,NA,NA,AL
avocado_08,2022-04-01,1,NA,NA,ME
avocado_09,2022-04-01,1,NA,NA,BA
avocado_10,2022-04-01,0,NA,NA,NA
avocado_11,2022-04-01,0,NA,NA,NA
avocado_12,2022-04-01,0,NA,NA,NA
avocado_13,2022-04-01,0,NA,NA,NA
avocado_14,2022-04-01,1,NA,NA,BA
avocado_15,2022-04-01,1,NA,NA,AL
avocado_16,2022-04-01,1,NA,NA,ME
avocado_17,2022-04-01,1,NA,BA,ME
avocado_18,2022-04-01,1,NA,BA,ME
avocado_19,2022-04-01,1,NA,BA,ME
avocado_20,2022-04-01,1,NA,BA,BA
avocado_21,2022-04-01,1,ME,BA,NA
avocado_22,2022-04-01,1,BA,ME,BA
avocado_23,2022-04-01,1,BA,NA,AL
avocado_24,2022-04-01,1,NA,BA,ME
avocado_25,2022-04-01,1,BA,BA,AL
avocado_26,2022-04-01,1,BA,BA,BA
avocado_27,2022-04-01,1,BA,BA,BA
avocado_28,2022-04-01,1,BA,BA,AL
avocado_29,2022-04-01,1,BA,BA,AL
avocado_30,2022-04-01,1,BA,AL,BA
avocado_01,2023-04-29,1,ME,BA,BA
avocado_02,2023-04-29,1,ME,ME,ME
avocado_03,2023-04-29,1,ME,BA,BA
avocado_04,2023-04-29,1,BA,BA,NA
avocado_05,2023-04-29,1,BA,BA,BA
avocado_06,2023-04-29,1,BA,BA,BA
avocado_07,2023-04-29,1,ME,BA,ME
avocado_08,2023-04-29,1,BA,BA,ME
avocado_09,2023-04-29,1,BA,BA,BA
avocado_10,2023-04-29,1,BA,BA,BA
avocado_11,2023-04-29,0,NA,NA,NA
avocado_12,2023-04-29,1,BA,NA,NA
avocado_13,2023-04-29,0,NA,NA,NA
avocado_14,2023-04-29,1,NA,ME,BA
avocado_15,2023-04-29,1,BA,BA,AL
avocado_16,2023-04-29,1,BA,NA,BA
avocado_17,2023-04-29,1,NA,BA,BA
avocado_18,2023-04-29,1,BA,ME,BA
avocado_19,2023-04-29,1,NA,NA,BA
avocado_20,2023-04-29,1,BA,BA,BA
avocado_21,2023-04-29,1,BA,NA,NA
avocado_22,2023-04-29,1,BA,ME,BA
avocado_23,2023-04-29,1,BA,NA,BA
avocado_24,2023-04-29,1,BA,BA,AL
avocado_25,2023-04-29,1,NA,NA,ME
avocado_26,2023-04-29,1,NA,NA,BA
avocado_27,2023-04-29,1,NA,NA,BA
avocado_28,2023-04-29,1,BA,BA,AL
avocado_29,2023-04-29,1,BA,BA,ME
avocado_30,2023-04-29,1,BA,NA,BA
avocado_01,2023-05-30,0,NA,NA,NA
avocado_02,2023-05-30,1,BA,BA,BA
avocado_03,2023-05-30,1,BA,BA,NA
avocado_04,2023-05-30,0,NA,NA,NA
avocado_05,2023-05-30,0,NA,NA,NA
avocado_06,2023-05-30,1,BA,BA,BA
avocado_07,2023-05-30,0,NA,NA,NA
avocado_08,2023-05-30,1,BA,BA,BA
avocado_09,2023-05-30,0,NA,NA,NA
avocado_10,2023-05-30,0,NA,NA,NA
avocado_11,2023-05-30,0,NA,NA,NA
avocado_12,2023-05-30,0,NA,NA,NA
avocado_13,2023-05-30,0,NA,NA,NA
avocado_14,2023-05-30,0,NA,NA,NA
avocado_15,2023-05-30,0,NA,NA,NA
avocado_16,2023-05-30,1,BA,BA,BA
avocado_17,2023-05-30,0,NA,NA,NA
avocado_18,2023-05-30,1,AL,ME,BA
avocado_19,2023-05-30,1,BA,BA,BA
avocado_20,2023-05-30,1,AL,AL,NA
avocado_21,2023-05-30,1,BA,BA,NA
avocado_22,2023-05-30,1,BA,ME,NA
avocado_23,2023-05-30,1,BA,NA,NA
avocado_24,2023-05-30,0,NA,NA,NA
avocado_25,2023-05-30,1,BA,BA,BA
avocado_26,2023-05-30,1,AL,AL,ME
avocado_27,2023-05-30,1,ME,BA,BA
avocado_28,2023-05-30,1,BA,BA,BA
avocado_29,2023-05-30,1,ME,ME,ME
avocado_30,2023-05-30,1,BA,BA,BA
avocado_01,2023-09-05,0,NA,NA,NA
avocado_02,2023-09-05,0,NA,NA,NA
avocado_03,2023-09-05,0,NA,NA,NA
avocado_04,2023-09-05,0,NA,NA,NA
avocado_05,2023-09-05,0,NA,NA,BA
avocado_06,2023-09-05,0,NA,NA,NA
avocado_07,2023-09-05,0,NA,NA,BA
avocado_08,2023-09-05,0,NA,NA,NA
avocado_09,2023-09-05,1,NA,NA,ME
avocado_10,2023-09-05,1,NA,NA,BA
avocado_11,2023-09-05,1,NA,NA,ME
avocado_12,2023-09-05,1,NA,BA,BA
avocado_13,2023-09-05,1,NA,NA,ME
avocado_14,2023-09-05,0,NA,NA,NA
avocado_15,2023-09-05,1,NA,NA,BA
avocado_16,2023-09-05,0,NA,NA,NA
avocado_17,2023-09-05,1,NA,NA,BA
avocado_18,2023-09-05,1,NA,NA,BA
avocado_19,2023-09-05,0,NA,NA,BA
avocado_20,2023-09-05,0,NA,NA,NA
avocado_21,2023-09-05,0,NA,NA,NA
avocado_22,2023-09-05,0,NA,NA,NA
avocado_23,2023-09-05,0,NA,NA,NA
avocado_24,2023-09-05,0,NA,NA,BA
avocado_25,2023-09-05,0,NA,NA,NA
avocado_26,2023-09-05,0,NA,NA,NA
avocado_27,2023-09-05,0,NA,NA,NA
avocado_28,2023-09-05,0,NA,NA,NA
avocado_29,2023-09-05,0,NA,NA,NA
avocado_30,2023-09-05,1,NA,NA,ME
avocado_01,2023-10-05,0,NA,NA,ME
avocado_02,2023-10-05,0,NA,NA,BA
avocado_03,2023-10-05,0,NA,NA,ME
avocado_04,2023-10-05,0,BA,NA,ME
avocado_05,2023-10-05,0,NA,BA,BA
avocado_06,2023-10-05,0,NA,NA,BA
avocado_07,2023-10-05,0,NA,NA,NA
avocado_08,2023-10-05,0,NA,NA,BA
avocado_09,2023-10-05,1,NA,NA,BA
avocado_10,2023-10-05,1,NA,NA,AL
avocado_11,2023-10-05,1,NA,NA,BA
avocado_12,2023-10-05,1,NA,NA,ME
avocado_13,2023-10-05,1,BA,NA,BA
avocado_14,2023-10-05,0,NA,NA,NA
avocado_15,2023-10-05,1,NA,NA,BA
avocado_16,2023-10-05,0,BA,BA,NA
avocado_17,2023-10-05,1,NA,BA,ME
avocado_18,2023-10-05,1,ME,ME,ME
avocado_19,2023-10-05,0,ME,ME,ME
avocado_20,2023-10-05,0,BA,BA,ME
avocado_21,2023-10-05,0,ME,BA,BA
avocado_22,2023-10-05,0,NA,BA,BA
avocado_23,2023-10-05,0,ME,BA,ME
avocado_24,2023-10-05,0,BA,NA,ME
avocado_25,2023-10-05,0,BA,BA,ME
avocado_26,2023-10-05,0,NA,NA,NA
avocado_27,2023-10-05,0,BA,ME,ME
avocado_28,2023-10-05,0,ME,ME,BA
avocado_29,2023-10-05,0,ME,BA,BA
avocado_30,2023-10-05,1,NA,NA,BA
